Requester,Title,HITs,Reward,filename,sentences,tokenized_text,normalized_text,tokenized_sents,normalized_sents,POS_sents
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-19_3-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-18_8-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-19_5-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-19_6-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-18_5-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-19_2-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
ShengZhi,Write what you would say for transport card top-up during phone call,1,25,3-18_4-00.csv,"[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top-up', 'during', 'phone', 'call']]","['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']","['write', 'transport', 'card', 'phone']","[['Write', 'what', 'you', 'would', 'say', 'for', 'transport', 'card', 'top', 'up', 'during', 'phone', 'call']]","[['write', 'transport', 'card', 'phone']]","[[('Write', 'VB'), ('what', 'WP'), ('you', 'PRP'), ('would', 'MD'), ('say', 'VB'), ('for', 'IN'), ('transport', 'NN'), ('card', 'NN'), ('top', 'NN'), ('-', 'HYPH'), ('up', 'NN'), ('during', 'IN'), ('phone', 'NN'), ('call', 'NN')]]"
Acme Data Collection,Native NORWEGIAN speakers: Make 20 short recordings (20200224_LG),1,20,3-15_2-00.csv,"[['Native', 'NORWEGIAN', 'speakers', ':', 'Make', '20', 'short', 'recordings', '(', '20200224_LG', ')']]","['Native', 'NORWEGIAN', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG']","['native', 'norwegian', 'speaker', 'short', 'recording', '20200224_lg']","[['Native', 'NORWEGIAN', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG']]","[['native', 'norwegian', 'speaker', 'short', 'recording', '20200224_lg']]","[[('Native', 'JJ'), ('NORWEGIAN', 'JJ'), ('speakers', 'NNS'), (':', ':'), ('Make', 'VB'), ('20', 'CD'), ('short', 'JJ'), ('recordings', 'NNS'), ('(', '-LRB-'), ('20200224_LG', 'CD'), (')', '-RRB-')]]"
Acme Data Collection,Native DANISH speakers: Make 20 short recordings (20200224_LG_da),1,20,3-19_10-00.csv,"[['Native', 'DANISH', 'speakers', ':', 'Make', '20', 'short', 'recordings', '(', '20200224_LG_da', ')']]","['Native', 'DANISH', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG_da']","['native', 'danish', 'speaker', 'short', 'recording', '20200224_lg_da']","[['Native', 'DANISH', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG_da']]","[['native', 'danish', 'speaker', 'short', 'recording', '20200224_lg_da']]","[[('Native', 'JJ'), ('DANISH', 'NN'), ('speakers', 'NNS'), (':', ':'), ('Make', 'VB'), ('20', 'CD'), ('short', 'JJ'), ('recordings', 'NNS'), ('(', '-LRB-'), ('20200224_LG_da', 'CD'), (')', '-RRB-')]]"
Acme Data Collection,Native NORWEGIAN speakers: Make 20 short recordings (20200224_LG),1,20,3-19_7-00.csv,"[['Native', 'NORWEGIAN', 'speakers', ':', 'Make', '20', 'short', 'recordings', '(', '20200224_LG', ')']]","['Native', 'NORWEGIAN', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG']","['native', 'norwegian', 'speaker', 'short', 'recording', '20200224_lg']","[['Native', 'NORWEGIAN', 'speakers', 'Make', '20', 'short', 'recordings', '20200224_LG']]","[['native', 'norwegian', 'speaker', 'short', 'recording', '20200224_lg']]","[[('Native', 'JJ'), ('NORWEGIAN', 'JJ'), ('speakers', 'NNS'), (':', ':'), ('Make', 'VB'), ('20', 'CD'), ('short', 'JJ'), ('recordings', 'NNS'), ('(', '-LRB-'), ('20200224_LG', 'CD'), (')', '-RRB-')]]"
